f09f98aa;sleepy
f09f95b5;sleuth_or_spy
f09f8d95;pizza
f09f9981;slightly_frowning_face
f09f9982;slightly_smiling_face
f09f8eb0;slot_machine
f09f9ba9;small_airplane
f09f94b9;small_blue_diamond
f09f94b8;small_orange_diamond
f09f98bb;heart_eyes_cat
f09f98ba;smiley_cat
f09f9887;innocent
f09f988d;heart_eyes
f09f9888;smiling_imp
f09f9883;smiley
f09f9885;sweat_smile
f09f9884;smile
f09f9886;laughing
f09f9886;satisfied
f09f988a;blush
f09f988e;sunglasses
f09f988f;smirk
f09f9aac;smoking
f09f908c;snail
f09f908d;snake
f09f8f94;snow_capped_mountain
f09f8f82;snowboarder
e29d8400;snowflake
e2988300;snowman
e29abd00;soccer
f09f8da6;icecream
f09f949c;soon
e2869800;arrow_lower_right
e2869900;arrow_lower_left
f09f8d9d;spaghetti
e29d8700;sparkle
e29ca800;sparkles
f09f9296;sparkling_heart
f09f998a;speak_no_evil
f09f9488;speaker
f09f9487;mute
f09f9489;sound
f09f948a;loud_sound
f09f97a3;speaking_head_in_silhouette
f09f92ac;speech_balloon
f09f9aa4;speedboat
f09f95b7;spider
f09f95b8;spider_web
f09f9793;spiral_calendar_pad
f09f9792;spiral_note_pad
f09f909a;shell
f09f92a6;sweat_drops
f09f8f85;sports_medal
f09f90b3;whale
f09f88b9;u5272
f09f88b4;u5408
f09f88ba;u55b6
f09f88af;u6307
f09f88b7;u6708
f09f88b6;u6709
f09f88b5;u6e80
f09f889a;u7121
f09f88b8;u7533
f09f88b2;u7981
f09f88b3;u7a7a
f09f8691;cl
f09f8692;cool
f09f8693;free
f09f8694;id
f09f8881;koko
f09f8882;sa
f09f8695;new
f09f8696;ng
f09f8697;ok
f09f8698;sos
f09f8699;up
f09f869a;vs
f09f8f9f;stadium
e298aa00;star_and_crescent
e29ca100;star_of_david
f09f9a89;station
f09f97bd;statue_of_liberty
f09f9a82;steam_locomotive
f09f8d9c;ramen
e28fb100;stopwatch
f09f938f;straight_ruler
f09f8d93;strawberry
f09f8e99;studio_microphone
e29b8500;partly_sunny
f09f8c9e;sun_with_face
f09f8cbb;sunflower
f09f8c85;sunrise
f09f8c84;sunrise_over_mountains
f09f8c87;city_sunrise
f09f8f84;surfer
f09f8da3;sushi
f09f9a9f;suspension_railway
f09f8f8a;swimmer
f09f958d;synagogue
f09f9289;syringe
f09f9195;shirt
f09f9195;tshirt
f09f8f93;table_tennis_paddle_and_ball
